Comment,Label
هاي ليس فنانة  وناماء  حوانيه,Negitive
لو كانت متعلمه ما كان هذا حالها نقطه لسطر,Positive
حافضة القران خخخخخخخ,Positive
البغتابون أحلام ايغارون منها,Positive
أحلام رووووووووعه بكل شي  احبببببببببببببببببببببك من كل قلبي,Positive
ملكة جمال الخليج,Positive
مسكين صاحب القناة مقهور جدا من أحلام ويجمع الفيديوهات  طب ليش هذا الحسد والغيره,Positive
"بدنا كنتاكي   عاجل 
تكفون ياشباب الي عنده كنتاكي يجيبه         علا كل مطاعم كنتاكي العجله  
ماودنا مشاكل",Positive
اصلن هو ارب ايدل جيبنه علمود ايضحكون على حجيه,Positive
والله طاح حضه بهل فديوات,Positive
احلام ست الكل  ومافي اطيب من قلبا ولو كره الكارهون هي الملكة,Positive
والله بيناقص منها رايح يتهنا منها البرنامج  ًويكونواحلا.,Positive
نن يفوز,Positive
بصراحة اول مره تقول شي صح شمس بتستعرض جسمها مش فنانه,Positive
"هلا يا جمهور كفا كفووووو كفوووووووو حقد و غيره و حسد على احلام اش فيها تبوس اعز، صديقتها عادي جدا تلاعبها كبنوته و الله خبث منكم  تنتهكون حرمتها و لا اروع من احلام  حاقدين عليها لانها ارقا منكم انا راح ادعمها بكل ثروتي",Positive
اميلها ملكا  هيا سميت نفسها ملكا,Positive
هاذه كذابه لو حافضه القران ماكان تغني,Positive
الله يشافيه مريضه,Negitive
احلام ملكه,Positive
جنهة بومة عابت 😁😁😁😁😁😁😁😁😁😁,Negitive
بلله يامبارك   تحب احلام,Positive
خبله باينه من تصرفاتها ام الكنتاكي ههههههه,Negitive
نص مقطع كذاب أحلام نسانه محترمه,Positive
شاركت فوق خشمك,Positive
فنانت العرب احلام علا عين الحسود😜😜😜,Positive
بس لان كل حكيها صح انت مدايقين,Positive
شو ماعندكن شغلة غير احلام الله ياخدكن شعب بموت على التمسخر والشماتة ببعض,Positive
"مو نمسا بالتركي 
بالتركي اويودو يعني نام 
الترجمة مالتهم غلط اني مترجم تركماني في تركيا من اصل عراقي",Positive
يلههههههوي حافظة القرأن,Positive
هههههههههههههههههههههههه خرب حضي,Positive
بدي اقول للفنانه أحلام على قد مو ناجحه مشغلا بال الكل الكل تارك اشغالو وعم يدور ع شي كلمه يحكيها صح مثل ما قالت مقهورين,Positive
فعلا مثل ما قالت الفنانه أحلام ما في مطربة اسمها شمس,Positive
احلام عفوية وطيبة واحسن من اي شخص وسخ بحكي عليها كلمة وسخة,Negitive
"أحلام  شهرتها ليس بسبب فنها ولكن بسبب خرووجها عن النص ونشاطها في مواقع التواصل واستهبالها  زي الخليل كوميدي في مصر وغيره أقصد الشهره السلبية
هذه المخلوقة لديها مشكلة نفسية مع الحياة أو ما يسمى شبع من بعد فقر
هذه المخلوقة هتكت عرض الفن والأخلاق وحتى الزمالة الفنية
استغرب ان لديها جمهور وهذه المشكلة إذا كانو يشبوهنها أخلاقيا  !!!!!فالمجتمع العربي يعاني من مشاكل وليست مشكلة",Positive
اني صراحة كنت أكره أحلام بس أحس متغيرة هذي اليام,Positive
مكروه احلام,Negitive
مشكلة الفنانين المصريين ولبنانيين انهم يعتقدو انهم نخبة الفن العربي واي فن عربي اخر هو مستوي ثاني مايعرفو يحترمو حدا مثلا المصربين العرب ما يعترفو بالراي مع انو الراي اشهر غناء عربي لو رحت اوربا وسالتهم عن الشاب خالد يعرفوه ولو سالت عن فنان عربي اخر نادر ما يعرفوه....,Positive
اللهم إني أسألك العفو والعافية في الدنيا والآخرة,Positive
"بصراحة يا أخي الكريم ، للاسف ٩٧٪ من الاعلام العربي اعلام موجه ورخيص ومخجل ومافي احترافية ويستخف بعقل المشاهد وللاسف كثير من المشاهدين غير مدركين لهدف الرسالة التي يقدمها الاعلام العربي وهي مدفوعة التكلفة اصلا من جهات يهمها ان تظل المشاهد وهو الشعب مخدرا ومنوما وما يصحي ابدا ولا يعي.",Positive
تسلم ضحكة حسن الشافعي,Positive
بتحكي شامي دخيل الله ههههه,Positive
احلاااااام بكرهككككك,Negitive
"اول شي صحيح لو تساوت الاذواق لبارت السلع ،،،ولكن اتعجب من هذا الزمان اللي ماعندهم اذان موسيقية او كما يقال سميعة شنو احلام شنو راغب كلهم اصوات نشاز وموسيقى نشاز هل تريدون تعرفون من هم الاصوات الحلوة ،،ام كلثوم اسمهان عبدالوهاب فريد عبد الحليم فاءزة وردة هدى سلطان سيد مكاوي فيروز ناظم الغزالي رياض احمد يوسف عمر وووالخ ومن الجيل الجديد فقط اصالة فقط لان صوتها وقوته لامثيل له الان انا اتكلم كسميع ليس كباقي الناس مع احترامي لذوقهم ولكن ليسو بسميعة اي هوسة وضجيج فقط ،،ولا انسا زهور حسين وياس خضر وسعدي وداخل حسن وعوض دوخي والسوري العملاق ابو كلثوم صباح فخري وانتم اتحدى اي واحد منكم أن ينتقد هاؤلاء حتى لو لايحبهم لانو هم مدارس لن تتكرر وبالاخير هل تعلمون ما هو اجمل صوت في العالم انه صوت عبد الباسط قارء القراءن الكريم الله اراده هكذا لانه كلام الله فلا يعلا عليه ،،،انا قصدي كدراسة سمعية مو على كيفك وكيفي وانا انسان بسيط بس اتوقع انا سميع",Positive
هذي احلام مشاركه وانت ماتستحي كل هذي غيره وحسد,Positive
بعد تحلف بالله اكذب امرأة على وجه الأرض,Negitive
احبك احالام,Positive
بلا كزب لجذب المنافقين امثال صاحب القناة وهذا دليل على نجاح احلام,Negitive
هناك تعليق بيقول احلام مسخره لا تخلوها في اراب ايدول 4 بالعكس سبيل نجاح اراب ايدول هوا احلام ومن غيرها البرنامج زيرو انا شخصيا بحبها قوي,Positive
و رديت مرة ثانية 😂,Positive
بدأ الموسم وانت تقول لن تستطيع 😂,Positive
هههههههههههههههههههههه,Positive
فين هوا المشكل ملكة عن جدارة واستحقاق 😘😘😘😘😘😘😘😘😘😘😘,Positive
ههههههههه,Positive
هههههه ولا حدا عاجبها,Positive
بيعجبني شيئ واحد باحلام انها صريحة و مابتخاف من حدا بنوب غير من الله,Positive
يخخخخخخخخ,Positive
"احلام صريحه وعفويه وملكه بجد ليه كلكون بتحاربوها لو نانسي او هيفا محد حارربها 
تحياتي للملكه احلام",Positive
من لبنان تحية للملكة وفنانة العرب احلام,Positive
أحلام فنانه طيبه علي نيتها وبتساعد الناس وانا بحبها علشان علي طبيعيتها,Positive
أحلى مليكة 😚😚😚😚😚😚😚😚😚😚😚😚😚😚😚😚😚,Positive
الى هذه الدرجة انتم تموتون من المرى,Positive
احلام انتي ليش الناس ماتحبك لين محترمه الناس ايحبون مثل اليسا وهيفاء ومريام فارس,Positive
ألو,Positive
خلي تولي لا شارك خلي يخلون واحد عراقي مثلن ماجد المهندس حاتم العراقي والله احسن من هاي,Positive
علساس انتي هسه فنانه انتي داكوكه وبس,Negitive
صحيح اختلط السياسه بالفن واصبح انت مع مين وعلى هذ الاساس تختتار فنانك .. بصراحه سوف يتحول الشباب على الفن الغربي بسبب غباء وكبرت الفنانين عنده ومن الملاحظ اختفاء الاغنيه السنويه.. يعنه كل سنه كانت تطلع اغنيه او كتر اترن وتنتشر بالوطن العربي من جمال الكلمات والاحان...للخ اليوم ولا اغنيه من عدة سنوات حازت على اعجاب الوطن العربي ..,Positive
والله يعالم احلام طيبه ومحترمه عايشه على النيه شوف ننسي تفكرساعه قبل ماتتكلم  الإعلام البنانين فاشل وقذر وزباله وأولهم نظام الأحمدية وكل لبنان تعرف هذا الشيء احلام جايه من صحراء قاحله الي انتم تعرفوا قيمتها لهذي الصحراء احلام ملكه بصرحتها وهي انسانه لازم تقلط يعني انتم متكاملين ما بتقلطوا اسألوا أنفسكم هل نحن مانقلط مستحيل احلام فنانه محترمه وجمهرها أكبر من الي يسبوها انا الي قهرني انتم ليش تسبوها وش دخلكم بالحرمة عندها عيالها وزوجها ومش سأله عليكم وخلوا الحمقات,Negitive
"احلام هذي ماعندها غير الجللد

كفو والله",Negitive
ما شاء الله عليك يا أخي ربنا يبارك فيك,Positive
عندها حق كل الاسالة لي طرحوها الصحافة زفت,Positive
احلام كوني صامدا انا من الجزاير واشجعك لا تدعيهم يدمرونك,Positive
جد شمس ماعند ولا غنية تنسمة هية نشهرت من ورة احلام,Positive
فيديو فاشل,Positive
شكرا😅😅👍,Positive
هههههههه😂😂😂👌,Positive
غثييييييثة لأبعد حد ...,Negitive
هههههههههههههههههههه,Positive
نقطة ضعف احلام هي شعبيتها المبالغ ما تعرف التمثيل صريحه زياده عن اللزوم ياريت تشوف وتقرا تعليقي انت نيتك صافيه بس الناس ما تقدر فعليك اشويه بالتصرف الاصطناعي ما يصير امام الجمهور تتصرفين  مثلما تتصرفين ببيتك لكل كلام مكانو وزمانو يا بنتي الحياة مدرسه دروسها التجارب فبعد الان لازم تعرفين بعد ما تكر رين الخطاء,Positive
مع احترامي للبرامج ما الها معنى و مش بالمستوى المطلوووب,Positive
"فعلا كلامك صح 100%
للاسف ما حدا ماكلها غير هالشعب المعتر",Positive
ههههههههه منيح متحملك زوجك 👀,Positive
ههههههههه اخ يا قلبي والله نهفة احلام,Positive
"عنجد ما بعرف احلام عندها انفصام 
في تناقد 😵😵
كل ساعة شي",Positive
"فعلا مش بنفوذها ومالها و شكلها 
الملوكية بالاخلاق و الاحترام وبس",Positive
ana bahabike ktire inti malikate molouke habibti ahlame,Positive
"أنا غير ممكن ان أتصور عرب ايدول من غير احلام 
عنجد يصير كتير جامد و ما حلو 
حبيبتنا احلام هي مشعله البرنامج بحلاوة روحها و خفة دمها ♡♡♡",Positive
احلام لم تعد ملكه تم ازالة هاذا القب من شعب الامارات و ايضا من اتصال لزوجة حاكم دبي الشيخ محمد بن راشد المكتوم   التي هي من امرت قناه ابو ظبي بازالة برنامج ذا كوين  و احلام قطعت عن الانستا و قالت انا حواصل حياتي حتى بعد ازالة القب,Positive
انتم على كلامكم هدا عن هذه المراة. تهدولها حسناتكم. على طبق اتقو لله وخليكم.من الغيبة. و فضح الناس,Positive
احبج يا احلام الورده مال كل للفنانات,Positive
انا الكويتي عدنان قاسم ..شزينها الاغاني المحبوبة الفنانة احلام ...اما شمس مايندره عنها متى هيا اطلعت ..حتى اسمها شمس موحلو .ههههاي .,Positive
مادري مخبله وله مادري شسميهه الله يشفيهه,Negitive
"احلام فنانة العرب ، تحية الها",Positive
ختولي الشاركت برنامج ولما شركت ماكو غيره,Positive
احلام فنانه محترمه ... وشمس من اسوا فنانه,Positive
ياليت انها ماتشترك نبغا نتابع البرنامج ولو شاركت احلام والله ما نتابع,Positive
الله يشفي كل مريض  فيه كرسي شاغر في شهار ارى حجزه للطقاقة أفلام .,Positive
نانسي  حلوه,Positive
نانسي,Positive
مع نفسها عبيطه جداً,Negitive
"البرنامج بدون كبير ماله قيمه 

احلام قيمه وتاريخ وتواجدها بالبرنامج زاد البرنامج",Positive
روعةة,Positive
انا ما تعجبني احلام,Positive
ما احبها,Positive
هههه احلام خليفة معمر القذافى الله يرحم و يغفر له,Positive
كل مابتقدو فيكي بنحبك اكتر ياملكه ع فكره كل الاضواء عليكي السنه نجاحك ياملكه صار اكبر المعجبين,Positive
انا معك يا احلام ملكة الغناء الخليجي مافي اجمل من صوتك,Positive
شمس احلام وكل الفنانيين تبرعو بكل فلوسكم للفقراء وتوبو الى الله,Positive
السوده الزركه,Negitive
والله انها اتخوف العيال,Positive
"بسراحه انا ما اغار من احلام ليش اصلا اتغارون من احلام اذا كان صوتها حلو ندرب علشان يكون صوتنا حلو وذا كنت تحسدونها على اموالها تذكرو يا اخواتي و اخواني ان الغناء بالمال لا ياسوي الغناء بالقلب ان كان قلبك غنيا بالايمان اصبحة تشع بايمانك والله اني يا احلام احبك وانا اعلم ان قلبكي رائع وصوتك رائع لكن انا ما احب الاغاني و المسيقى ونصيحه للمغنيات انكم ما تسو عمليات تجميل لان الجمال لا يكون بالوجه او اجسم و غيرها الجمال الحقيقي هو القلب ان كان قلبك غنيا اصبحة غنيا بالايمان 
وسلام عليكم",Positive
انتي صوتك مراه يعني الله يغسلك ما بين النسوان حافظه القران وبصلي صدقتك عبد الباسط ليش ما بتحجبي وكيلو مكياج وبظلط  وبا,Positive
يبغون الشهرة  بمجرد ذكر احلام,Positive
ياااااشيخه اتقى ربك,Positive
انا بحبك يا احلام بحببببببكككككككك,Positive
أحلام طيبة جداا,Positive
روحو شوفو فضائح الفنانات المصريات والسوريات ..ليش مخلين بالكم مع احﻻم  على اﻻقل هي فنانة غير خليعة وشريفة ليش متكتبون عن سخافة وخﻻعة ميريام فارس مثﻻ..احﻻم اشرف فنانة,Positive
ههههههههه,Positive
"Arab idol من دون الفنانه والملكه احلام بالموسم الرابع رح يكون مو حلو 
وحتكون اللجنه ناقصه بدونها",Positive
لعما  شو بايخا  شو عرفك بلجنا,Positive
جيبولها كنتاكي لا تكوم تاكلنه ولا تزعلين عدمه بيزه تريدين🍕🍕🍕🍕😆,Positive
العما شقد بكرهك,Negitive
احبك يا نانسي عجرم احبك موووت😘,Positive
احلام ما خلت ولا نجم بحاله,Positive
احلام فنانه طيبه ولاكن دائما تنتقد الناس ولهذا السبب تخلي الناس يكرهونها,Positive
عود هية ليش مكروهة اريد افتهم احد يكلي,Positive
"اللهم ثبتنا يوم تزل الاقدام خريجه شريعه وحافظه القران
يامقلب القلوب ثبت قلبي على دينك",Positive
الحمد لله ربي كرمنا بالعقل,Positive
احلام,Positive
قريت التعليقات والله عيب وحرام ماتعجبكم مامجبورين تطالعونها لويش هل غلط هاذي أخلاق مع أحتراماتي لايتعالج الغلط بلغلط الله يهديه والإنسان اليغلط يضر نفسه لايضر غيره انصحوا أفضل من الغلط لا صوته كولش حلو بس عيبه شويه عفويه والناس تكول عليه همجيه تنقصها الثقافه,Positive
احب انطي رايي بصراحه وبصدق على شنو الغيره احلام قد تكون عفويه على الفطره بس الناس ماترحم هيجي إنسان ومن داخلها إنسان بسيط وطيوبه الكلمه اللي في قلبها على لسانها لأتعرف التملق لكن ارجع الناس ماترحم هيجي انسان لازم تتغير اسلوبه الى متى تبقى هيجي ينقصها الاسلوب والتسرع وما أجرح اي انسان كائن من يكون وهيه حره بلبسه بتصرفاتها وارجع واقول ثروتها هيه سبب غيرة بعض الناس وتعرضها لنقد والحقد والحسد جائت ثروتها من تعبها وهيه بنت الخليج المدلله لكن ارجع وأقول على ماذا ملكه الصوت يوجد كثير من المطربات أحلى من صوتها انا أقول لثروتها صحيح صوتها جميل وانا احبه بس تنقصها الثقافه باسلوبها وبتصرفاتها صوت رياب الله يرحمها اجمل وأقوى من صوتها كلام الحق لايزعل السبب هيه ثروتكي يااحلام انتي ملكه فقط وراغب علامه فنان وله جمهوره وأقدم منكي حضورا وصوتا وثقافة فلماذا تحشرين انفكي بكل شيء وكأنك تعرفين كل شيء وتعرضين نفسكي لسخريه ولنقد كوني لطيفه وانيقه ليس بلبسكي بل بأسلوبكي اي شيء يطرأ على بالك.تقولينه او تفعلينه أحنه بزمان النقد لايسلم أحد من النقد الا تحذري؟؟؟؟؟؟؟,Positive
منقهرين من احلام طيب على تبن,Positive
".
انا ضد تصرفات احلام بس ليه اسب واشتم وفي النهاية سيئات ومحد درا عني 😂
ونسيتم اهم نقطة....الوسط الفني كله قذارة ووساخة",Positive
تضربي انت واللي غاير منك على شو بدن يغاروا على جمالا,Positive
احلام انتي من اجمل  الفنانات العرب واحبك مووووووت 💋💋💋💋💋💋💋💋💋💋💋💋💋💋💋💋,Positive
أحلام وبس,Positive
انا مالي علاقه بالغناء وم اسمع الحمدلله لاكن الي م يحب شخص يتكلم فيه ويشتمه و يضره بكلامه اوغيره هاذا يدل على احترامك انت اذا كلامك محترم ونقدك فأنت شخص محترم اما إذا العكس فأنت شخص سيء اتمنى ان الشخص السيء يفكر مع نفسه ويقرر انت وش بتستفيد من كل ذا؟ بأختصاار جمعت ذنوب,Positive
احترمو نفسكم لا تعيبون ع احلام,Positive
مريضه جدااااااااااا👎👎👎👎,Negitive
ههههههههه احجي عدل مو تعتعين بس اه اه اه اه شنووو اه احجي عدل ام غسل اله كضهه وجوياها لا تغارين عيوني روحي يم حديقه حيوانات  احسلج يا جكمه عيوني روحي تولي ام غسل اي ولللا 😕😕اوك روحي 👍,Negitive
والله حرام تمساك مايك احلام,Positive
الفن رساله إنسانيه قبل ان يكون طربيه والدليل ان الفن يحتوي انواع عديده مثل الغناء والتمثيل ومهرجانات وسينما وغيرها ومن هنا الفنان بين حالتين اما واعي ومثقف حاله جيدا او وسط او بسيط ولكل فنان عليه واجبات وحدود للحديث مع الآخرين وخاصة الصحافه التي تمثل الجمهور وبالتالي هو الذي يقيم وللأسف الشديد تأثر الفن بالأحداث السياسيه مما أدى الى انسياق البعض الى التزمت ونسيان رسالته الحقيقيه الإنسانيه ونأمل وبكل حسن وصفاء نيه ان تعاد العلاقه الإنسانيه الجميله الذي تمتع بها جمهور كبير الى الواجهة وطئ صفحه من الماضي ونسيانها رغبة بالمحبه والاحترام المتبادل وحدوده,Positive
تصلي وتصوم وتقوم بالفرايض.  وتغني وترقص كيف افهمها.  ؟؟؟؟؟؟؟؟,Positive
اتوقع افضل بديل نوال الكويتية لازم يكون فرع خليجي بالارب أيدول,Positive
ايمت يطلع ارب ايدل 4,Positive
بلا قله حيااء انتوا وياه اللي تسب وتسوي حركاتت ممبزره ويعنني .,Positive
المشكله المشكله ان هي تسب من هب ودب  والا شفتو الفنانه  شمس قالت ماعندي مشكله معاها هي عنده مشكله معاي لانه طبعا هذه اخلاق المثقفين السب شي تخلف حتى ولو عندي مشكله مع الاخر,Positive
هههههههههههههههه فاشله,Positive
احسن,Positive
أحلام فنانة محترمة راقية,Positive
انا دراسة في كلية الشريعة الاسلامية وبقوم بكل الفرائض بصلي وصوم ههههه ضحكي على طفل عمرة سنتين بهاي,Positive
والله انها لمن تتكلم أنحرج😳😳😳,Positive
رح ازوع,Positive
اولا راغب علامة فنان متزن و المطربة احلام اللي اكيد هية عندها عفة وشرف لانها سترت نفسها وجلست في بيت زوجها وماعرضت نفسها حتى في غرفة نومها مشكلتها مع راغب وكل الشعوب الطيبة انهم لايدعمون داعش ولا ارهاب حكام الخليج اللذين غنت احلام لهم ان اسحقوا شعب اليمن وكل من يعارض سياسة ملوك البترول,Positive
فشختيني 😂😂😂😂 شو هاد هههههه عيب,Positive
والله حرم للي تحكي على  أحلام هي إنسانه محترمه  وبريئه,Positive
شنو هالغرور الملكة ملكة على روحهة مو على الناس اموت منهة ومن الخليج كلة,Positive
خلوا بالكم انه ليس من اخلاق الاسلام ولا المسلمين فضح اعراض الناس هذا ليس سهل عند الله وعليكم النصيحه بمواجهة من تحب فى منزله وبالقران فقط   وذكر بالقران ولست عليهم بمسيطر وايات كثيره تنبهنا لاتضع نفسك مكان الحكم العدل ولكن اعترض بدون ان تفضح اعراض احد بنشر فديوهات  لاء وانت مش دارى انت بتخلى كلنا نشوفها فيه ناس مش بتشوفها نصيحه لكن بتشوفها شهوه يبئا سيادتك ساعدت على نشر عوره  وتحريك شهوه وفضح عرض  احكم انت بنفسك على نفسك لو انت مسلم حق وليس شخص محرض على هدف معين غير دين الله واوعظهم بالموعظة الحسنه والموعظه الحسنه هى حسن الاخلاق فى النشر والكلام حتى لاتساعد على تشويه دين الله وتجعل ناس كتير تنفر من الدين الاسلامى هذه نصيحه من رجل انت متعلم احسن منى,Positive
ياخي نحن ما اختلفنا صوتها حلو لكن البنت نفسها متخلفه نفسيه عندها انفصام ف الشخصيه ومتكبره وشايفه نفسها,Negitive
يوجد لدينا تقسيط جميع الاجهزةايفون- لابتوب-كميراءوكل الاجهزهللطلب 0533394524,Positive
لا ابوكم ولا ابو فنكم حنا وش دخلنا هل الفديو وانا ليش جيت وكيف وصلت هينا 😧,Positive
ويع على احلام اسكتي تره مو حلوه صوتج وشكلج,Negitive
لك شنو هاي تحجي على راغب وهية متعرف نفسمة يمعودة دولي حاسبو نفسكم قبل ان تحاسبو راغب يسواج ويسوة عشرة مثلج,Negitive
هيييية مجنووونة بس ع نيااااتهاااا,Negitive
ههههههههههه 😂 😂,Positive
المرأة معروفه باصوتها الهادي,Positive
هههههه,Positive
بقاء أحلام في عرب ايدل يقلل من ذوق MBC,Positive
احلام اتريد تتنطرد من الفن بس متعرف اشلون,Positive
انتي واحده مغروره شايفه نفسك علي الفاضي,Negitive
فديتك أحلام,Positive
انتي عندك مشاكلة مع نفسك عدى ناس هههه.يارب يسترنا من هاد المرض.,Negitive
مسكينة احلام عاوزة تكون حاجة ومو عارفة كيف هلأ صارت ماتعرف تحكي عربي ع اساس هي فرنسية,Positive
كنتاكي😂😂😂😂😂خررررب👌🏻👌🏻😂😂,Positive
هههههههه ضحكتوني الي ضايج او زعلان او مهموم يشوف احلام وعنجد ينسى كل شي مضايقه,Positive
احلام وشمس والمعوقات فنيا مثلهم عار المجتمع العربي,Negitive
هذي احلام فنانة وش ؟ وش تسوي بالضبط ؟ :|,Positive
احلام غيوره كتير بتصلي اىل,Positive
احلام غيوره كتير بتصلي اىل,Positive
احلام مغرورة,Negitive
اقترح ان يتحول عنوان البرنامج الى (الطكاكة شو),Positive
عندما تقف الطكاكة احلام مع راغب علامة سنتذكر مسلسل (الوحشاء والحسن) ههههههههههههههههههه,Negitive
حلو,Positive
مغرورة بحالا بس ع شو عليك وع منظرك,Negitive
ههههههههه كبور,Positive
اريد اعرف شنو الي فرطتي بي ياله انطوج مقام ملكه هههههههه,Negitive
"يا عيب الشوم عالفن لبدا تمثلو مجنوني متخلفة متل احلام 
فعلا شي مقرف ومعيب",Negitive
ألي يحب الله لايك,Positive
"متناقضة بشكل فضيع ، وعندها صفاقة ما شفتها في بشر !!! كان الله في عون زوجها ...",Negitive
"احلام مدرسه احلام ماده يجب ان تدرس 
هذه العملاقه هذه الاسطورة هذه الرقم الصعب في قلوب اعدائه
تخسؤن يولاد المتعه توصلون ماوصلت اليه",Negitive
8=====D kentaky,Positive
kentaky,Positive
ي كرهي لها والله مو غيره لا عليها ولا ع فلوسها بس كذه اكرهها من ربي والسلام عليكم ورحمه الله وبركاته #,Negitive
هذه الملكه احلام وتستاهل اللقب,Positive
حتة حكي مبتعرف تحكي,Positive
ههه شرشوحة,Negitive
مسكينه هبله,Negitive
��💋💋💋💋ان احب احلام,Positive
ههههه سينما بلاش,Positive
أحلام فنانة كبيرة ومن يتكلم عنها هم غبار على أقدامها,Negitive
وش يقولونها باالعربي,Positive
هيا هيا نشتري دجاج.........نأكل ونربيها للاحفاد.......... لكي نتجنب هذا الفساد........ونعيش بعيدا عن الاوغاد... بق بق بق بق بقاق غاق......هيا هيا ياطفال ياولاد.......هيا نشتري دجاج........ .ماطيب طعم الدجاج .........البيض المفقوص الطازج ........سنبيعه وسنصدر للخارج.......,Positive
"اللهم لا تجعلني من الذين شهدت عليهم اصابعهم،واجعلني من الذين شهدت لهم اصابعم ياارحم الراحمين",Positive
"مشكلتها اذا زعلت خبصت بالكلام...وسهل استفزازها!
وكلام متناقض وحش بالناس وكنتاكي وبرشلونه ومدريد!
الناس تحب تمصخر بعض ونتي معطيتهم جميع الفرص للمصخره بتصرفاتك هذي.",Positive
الحقيقة انا مابحب احلام دي ولا عمري هحبها هي مغرورة  بطريقة اوووفر ولا بحب طريقة كلامها تحس انها موش فاهمة حاجة من ال بتقولو واديكو شفتو الفيديو السابق وانا برايي هي ما تستحق تكون عضوة حاكمة ف برنامج عرب ايدول او اي برنامج حتي ...,Positive
مقطع فيديو متعوب عليه,Positive
اقسم بالله انها اجمل مطربه خليجيه على وجه الارض  اوانا من موعجبين احلام لانها بتجنن,Positive
"استغفر الله 
تنااقض تام ب اقولها ههههه",Positive
وحيات الله انا مش مسدقه كيف هاي الي اسمها احلام مغنيه لا محظر ولا منظر ولا صوت كيف صار هيك بفلويها ومجوهراتها عم تعطوها اهتمام !!!! نصيحتي الك احلام اتحجبي واعبدي ربك عشان اخرتك بلا تفاهات عم اظحكي العالم عليكي وانت بتمثلي انو شخصيتك قويه بس الحقيقه مبينه انو انت انتهيتي . فا الله يهديكي الشهره الكدابه عم تسقط مش ملااحظه هالشي .,Positive
ع شنو مغروره انتي لو حلوه مثل تفاحة العراق زهور علاء شسوين,Positive
منطقية جدا في لقاءتها,Positive
اضهرتم الحقد الدفين تجاه احلام,Positive
احﻻم احترمي نافسك,Positive
تصرفاتها كأنه مجنونه صحيح صوتها حلو بس شخصيتها غريبه ومكروها حيل والهذا الهجوم صاير عليها بفلس😂,Negitive
اتركوها بحالها خلص افت يا,Positive
فش طريقة نخلص من هذا الوباء,Positive
ياويلي من الغيره من احلام ذبحكم الحسد و الغيره منها يويو منكم الله يكفيها شر عيونكم,Positive
هل الفنانات ذبحتهم الغير والحسد من احلام ..,Positive
اهم شي اسم النمسا ...,Positive
انا تعجبني إنجليزية وعربيتها المكسره اولي ابي شوز,Positive
درويشه مسكينه,Positive
مادة دسمة انتم من يجعلها كماتصف القناة,Positive
احلام كواحه,Positive
اكرهج احلام 🙊,Negitive
احسن بلا قرف,Negitive
شبه المراة اللي كانت تجي بتوم وجيري,Positive
خبله هاذي,Negitive
والله حرام اضيع من وقتي حته لو ثواني ع هاي الخبله,Negitive
يقطع عمرك .,Positive
الحيا ما حد هو والله يستر,Positive
نسره,Positive
شكراً على الفديو... مضحك جدً والمحزن فيه ان زوجها يمشي وراءها و كانه عديم الارادة ... يبدو انه لاسلطه له عليها حتى  على الاقل ينصحها بالتصرف برقي أفضل والكف عن التصرف وكأنها أفضل من باقي البشر,Positive
